"","State","Corp_Rate","year","Corp_Rate_Adj","Pers_Rate","Pers_Rate_Adj","Sales_Rate","Sales_Rate_Adj"
"1","Alabama",6.5,2010,6.5,5,5,4,4
"2","Alaska",9.4,2010,9.39999961853027,0,0,0,0
"3","Arizona",6.968,2010,6.96799993515015,4.34,4.54,5.6,5.59999990463257
"4","Arkansas",6.5,2010,6.5,7,7,6,6
"5","California",8.84,2010,8.84000015258789,11.18,10.55,8.25,8.25
"6","Colorado",4.63,2010,4.63000011444092,4.63,4.63,2.9,2.90000009536743
"7","Connecticut",7.5,2010,8.25,6.5,6.5,6,6
"8","Delaware",8.7,2010,8.69999980926514,6.95,6.95,0,1.91999995708466
"9","District of Columbia",9.975,2010,9.97500038146973,8.5,8.5,6,6
"10","Florida",5.5,2010,5.5,0,0,6,6
"11","Georgia",6,2010,6,6,6,4,4
"12","Hawaii",6.4,2010,6.40000009536743,11,11,4,4
"13","Idaho",7.6,2010,7.59999990463257,7.8,7.8,6,6
"14","Illinois",7.3,2010,7.30000019073486,3,3,6.25,6.25
"15","Indiana",8.5,2010,8.5,3.4,3.4,7,7
"16","Iowa",12,2010,12,8.98,8.98,6,6
"17","Kansas",4,2010,7.05000019073486,6.45,6.45,5.3,5.30000019073486
"18","Kentucky",6,2010,6,6,6,6,6.09499979019165
"19","Louisiana",8,2010,8,6,6,4,4
"20","Maine",8.93,2010,8.93000030517578,8.5,8.5,5,5
"21","Maryland",8.25,2010,8.25,6.25,6.25,6,6
"22","Massachusetts",8.75,2010,8.75,5.3,5.3,6.25,6.25
"23","Michigan",4.95,2010,6.03850507736206,4.35,4.35,6,6.80000019073486
"24","Minnesota",9.8,2010,9.80000019073486,7.85,7.85,6.875,6.875
"25","Mississippi",5,2010,5,5,5,7,7
"26","Missouri",6.25,2010,6.25,5.9,6,4.225,4.22499990463257
"27","Montana",6.75,2010,7,6.9,6.9,0,0
"28","Nebraska",7.81,2010,7.80999994277954,6.84,6.84,5.5,5.5
"29","Nevada",0,2010,0,0,0,6.85,6.84999990463257
"30","New Hampshire",8.5,2010,8.5,0,0,0,0.75
"31","New Jersey",9,2010,9,8.97,8.97,7,7
"32","New Mexico",7.6,2010,7.59999990463257,4.9,4.9,5.5,5.5
"33","New York",7.1,2010,7.09999990463257,8.82,8.97,4,4
"34","North Carolina",6.9,2010,7.10699987411499,7.98,7.75,5.75,5.75
"35","North Dakota",6.4,2010,9.89999961853027,4.63,3.99,5,5
"36","Ohio",0,2010,0,6.24,5.925,5.5,5.76000022888184
"37","Oklahoma",6,2010,6,5.21,5.5,4.5,4.5
"38","Oregon",7.9,2010,7.90000009536743,9.91,9.9,0,0
"39","Pennsylvania",9.99,2010,9.98999977111816,3.07,3.07,6,6
"40","Rhode Island",9,2010,9,6,5.99,7,7
"41","South Carolina",5,2010,5,7,7,6,6
"42","South Dakota",0,2010,0,0,0,4,4
"43","Tennessee",6.5,2010,6.5,0,0,7,7.03000020980835
"44","Texas",0,2010,0,0,0,6.25,7.25
"45","Utah",5,2010,5,5,5,5.95,5.94999980926514
"46","Vermont",8.5,2010,8.5,8.21,8.95,6,6
"47","Virginia",6,2010,6,5.65,5.75,5,5
"48","Washington",0,2010,0,0,0,6.5,8
"49","West Virginia",8.5,2010,8.5,6.5,6.5,6,6.40999984741211
"50","Wisconsin",7.9,2010,7.90000009536743,7.75,7.75,5,5
"51","Wyoming",0,2010,0,0,0,4,4
"52","Alabama",6.5,2011,6.5,5,5,4,4
"53","Alaska",9.4,2011,9.39999961853027,0,0,0,0
"54","Arizona",6.968,2011,6.96799993515015,4.34,4.54,6.6,6.59999990463257
"55","Arkansas",6.5,2011,6.5,7,7,6,6
"56","California",8.84,2011,8.84000015258789,10.92,10.3,8.25,8.25
"57","Colorado",4.63,2011,4.63000011444092,4.63,4.63,2.9,2.90000009536743
"58","Connecticut",7.5,2011,8.25,6.7,6.5,6,6
"59","Delaware",8.7,2011,8.69999980926514,6.95,6.95,0,1.91999995708466
"60","District of Columbia",9.975,2011,9.97500038146973,8.5,8.5,6,6
"61","Florida",5.5,2011,5.5,0,0,6,6
"62","Georgia",6,2011,6,6,6,4,4
"63","Hawaii",6.4,2011,6.40000009536743,11,11,4,4
"64","Idaho",7.6,2011,7.59999990463257,7.8,7.8,6,6
"65","Illinois",9.5,2011,9.5,5,5,6.25,6.25
"66","Indiana",8.5,2011,8.5,3.4,3.4,7,7
"67","Iowa",12,2011,12,8.98,8.98,6,6
"68","Kansas",4,2011,7,6.45,6.45,6.3,6.30000019073486
"69","Kentucky",6,2011,6,6.18,6,6,6.09499979019165
"70","Louisiana",8,2011,8,6,6,4,4
"71","Maine",8.93,2011,8.93000030517578,8.5,8.5,5,5
"72","Maryland",8.25,2011,8.25,6.25,5.5,6,6
"73","Massachusetts",8.25,2011,8.25,5.3,5.3,6.25,6.25
"74","Michigan",4.95,2011,6.03850507736206,4.35,4.35,6,6.80000019073486
"75","Minnesota",9.8,2011,9.80000019073486,8.09,7.85,6.875,6.875
"76","Mississippi",5,2011,5,5,5,7,7
"77","Missouri",6.25,2011,6.25,5.9,6,4.225,4.22499990463257
"78","Montana",6.75,2011,7,7.11,6.9,0,0
"79","Nebraska",7.81,2011,7.80999994277954,6.84,6.84,5.5,5.5
"80","Nevada",0,2011,0,0,0,6.85,6.84999990463257
"81","New Hampshire",8.5,2011,8.5,0,0,0,0.75
"82","New Jersey",9,2011,9,8.97,8.97,7,7
"83","New Mexico",7.6,2011,7.59999990463257,4.9,4.9,5.125,5.125
"84","New York",7.1,2011,7.09999990463257,8.82,8.97,4,4
"85","North Carolina",6.9,2011,6.90000009536743,7.75,7.75,5.75,5.75
"86","North Dakota",6.4,2011,9.89999961853027,3.84,3.99,5,5
"87","Ohio",0,2011,0,5.92,5.925,5.5,5.76000022888184
"88","Oklahoma",6,2011,6,5.21,5.5,4.5,4.5
"89","Oregon",7.6,2011,7.59999990463257,9.01,9.9,0,0
"90","Pennsylvania",9.99,2011,9.98999977111816,3.07,3.07,6,6
"91","Rhode Island",9,2011,9,5.99,5.99,7,7
"92","South Carolina",5,2011,5,7,7,6,6
"93","South Dakota",0,2011,0,0,0,4,4
"94","Tennessee",6.5,2011,6.5,0,0,7,7.03000020980835
"95","Texas",0,2011,0,0,0,6.25,7.25
"96","Utah",5,2011,5,5,5,5.95,5.94999980926514
"97","Vermont",8.5,2011,8.5,8.21,8.95,6,6
"98","Virginia",6,2011,6,5.65,5.75,5,5
"99","Washington",0,2011,0,0,0,6.5,8
"100","West Virginia",8.5,2011,8.5,6.5,6.5,6,6.34000015258789
"101","Wisconsin",7.9,2011,7.90000009536743,7.75,7.75,5,5
"102","Wyoming",0,2011,0,0,0,4,4
"103","Alabama",6.5,2012,6.5,5,5,4,4
"104","Alaska",9.4,2012,9.39999961853027,0,0,0,0
"105","Arizona",6.968,2012,6.96799993515015,4.34,4.54,6.6,6.59999990463257
"106","Arkansas",6.5,2012,6.5,7,7,6,6
"107","California",8.84,2012,8.84000015258789,14.1,10.3,7.25,7.25
"108","Colorado",4.63,2012,4.63000011444092,4.63,4.63,2.9,2.90000009536743
"109","Connecticut",7.5,2012,9,6.7,6.7,6.35,6.34999990463257
"110","Delaware",8.7,2012,8.69999980926514,6.75,6.75,0,1.91999995708466
"111","District of Columbia",9.975,2012,9.97500038146973,8.95,8.95,6,6
"112","Florida",5.5,2012,5.5,0,0,6,6
"113","Georgia",6,2012,6,6,6,4,4
"114","Hawaii",6.4,2012,6.40000009536743,11,11,4,4
"115","Idaho",7.6,2012,7.59999990463257,7.4,7.4,6,6
"116","Illinois",9.5,2012,9.5,5,5,6.25,6.25
"117","Indiana",8.5,2012,8.5,3.4,3.4,7,7
"118","Iowa",12,2012,12,8.98,8.98,6,6
"119","Kansas",4,2012,7,6.45,6.45,6.3,6.30000019073486
"120","Kentucky",6,2012,6,6.18,6,6,6.09499979019165
"121","Louisiana",8,2012,8,6,6,4,4
"122","Maine",8.93,2012,8.93000030517578,8.5,8.5,5,5
"123","Maryland",8.25,2012,8.25,5.75,5.75,6,6
"124","Massachusetts",8,2012,8,5.25,5.25,6.25,6.25
"125","Michigan",6,2012,6,4.33,4.35,6,6
"126","Minnesota",9.8,2012,9.80000019073486,8.09,7.85,6.875,6.875
"127","Mississippi",5,2012,5,5,5,7,7
"128","Missouri",6.25,2012,6.25,5.9,6,4.225,4.22499990463257
"129","Montana",6.75,2012,7,7.11,6.9,0,0
"130","Nebraska",7.81,2012,7.80999994277954,6.84,6.84,5.5,5.5
"131","Nevada",0,2012,0,0,0,6.85,6.84999990463257
"132","New Hampshire",8.5,2012,8.5,0,0,0,0.75
"133","New Jersey",9,2012,9,8.97,8.97,7,7
"134","New Mexico",7.6,2012,7.59999990463257,4.9,4.9,5.125,5.125
"135","New York",7.1,2012,7.09999990463257,8.82,8.82,4,4
"136","North Carolina",6.9,2012,6.90000009536743,7.75,7.75,4.75,4.75
"137","North Dakota",5.2,2012,8.69999980926514,3.84,3.99,5,5
"138","Ohio",0,2012,0,5.93,5.925,5.5,5.76000022888184
"139","Oklahoma",6,2012,6,4.99,5.25,4.5,4.5
"140","Oregon",7.6,2012,7.59999990463257,9.01,9.9,0,0
"141","Pennsylvania",9.99,2012,9.98999977111816,3.07,3.07,6,6
"142","Rhode Island",9,2012,9,5.99,5.99,7,7
"143","South Carolina",5,2012,5,7,7,6,6
"144","South Dakota",0,2012,0,0,0,4,4
"145","Tennessee",6.5,2012,6.5,0,0,7,7.03000020980835
"146","Texas",0,2012,0,0,0,6.25,7.25
"147","Utah",5,2012,5,5,5,5.95,5.94999980926514
"148","Vermont",8.5,2012,8.5,8.21,8.95,6,6
"149","Virginia",6,2012,6,5.65,5.75,5,5
"150","Washington",0,2012,0,0,0,6.5,8
"151","West Virginia",7.75,2012,7.75,6.5,6.5,6,6.26999998092651
"152","Wisconsin",7.9,2012,7.90000009536743,7.75,7.75,5,5
"153","Wyoming",0,2012,0,0,0,4,4
"154","Alabama",6.5,2013,6.5,5,5,4,4
"155","Alaska",9.4,2013,9.39999961853027,0,0,0,0
"156","Arizona",6.968,2013,6.96799993515015,4.47,4.54,6.6,6.59999990463257
"157","Arkansas",6.5,2013,6.5,7.21,7,6,6
"158","California",8.84,2013,8.84000015258789,14.1,13.3,7.5,7.5
"159","Colorado",4.63,2013,4.63000011444092,4.77,4.63,2.9,2.90000009536743
"160","Connecticut",7.5,2013,9,6.7,6.7,6.35,6.34999990463257
"161","Delaware",8.7,2013,8.69999980926514,6.95,6.75,0,1.53600001335144
"162","District of Columbia",9.975,2013,9.97500038146973,9.04,8.95,6,6
"163","Florida",5.5,2013,5.5,0,0,6,6
"164","Georgia",6,2013,6,6.18,6,4,4
"165","Hawaii",6.4,2013,6.40000009536743,11,11,4,4
"166","Idaho",7.4,2013,7.40000009536743,7.48,7.4,6,6
"167","Illinois",9.5,2013,9.5,5,5,6.25,6.25
"168","Indiana",8,2013,8,3.4,3.4,7,7
"169","Iowa",12,2013,12,8.98,8.98,6,6
"170","Kansas",4,2013,7,5,4.9,6.3,6.30000019073486
"171","Kentucky",6,2013,6,6.18,6,6,6.09499979019165
"172","Louisiana",8,2013,8,6,6,4,4
"173","Maine",8.93,2013,8.93000030517578,7.95,7.95,5,5
"174","Maryland",8.25,2013,8.25,5.83,5.75,6,6
"175","Massachusetts",8,2013,8,5.25,5.25,6.25,6.25
"176","Michigan",6,2013,6,4.25,4.25,6,6
"177","Minnesota",9.8,2013,9.80000019073486,10.44,9.85,6.875,6.875
"178","Mississippi",5,2013,5,5.07,5,7,7
"179","Missouri",6.25,2013,6.25,6.08,6,4.225,4.22499990463257
"180","Montana",6.75,2013,7,7.11,6.9,0,0
"181","Nebraska",7.81,2013,7.80999994277954,8.35,6.84,5.5,5.5
"182","Nevada",0,2013,0,0,0,6.85,6.84999990463257
"183","New Hampshire",8.5,2013,8.5,0,0,0,0.75
"184","New Jersey",9,2013,9,8.97,8.97,7,7
"185","New Mexico",7.6,2013,7.59999990463257,5.05,4.9,5.125,5.125
"186","New York",7.1,2013,7.09999990463257,8.82,8.82,4,4
"187","North Carolina",6.9,2013,6.90000009536743,7.98,7.75,4.75,4.75
"188","North Dakota",5.15,2013,8.64999961853027,3.21,3.99,5,5
"189","Ohio",0,2013,0,5.42,5.925,5.5,5.76000022888184
"190","Oklahoma",6,2013,6,5.14,5.25,4.5,4.5
"191","Oregon",7.6,2013,7.59999990463257,9.28,9.9,0,0
"192","Pennsylvania",9.99,2013,9.98999977111816,3.07,3.07,6,6
"193","Rhode Island",9,2013,9,5.99,5.99,7,7
"194","South Carolina",5,2013,5,7.08,7,6,6
"195","South Dakota",0,2013,0,0,0,4,4
"196","Tennessee",6.5,2013,6.5,0,0,7,7.03000020980835
"197","Texas",0,2013,0,0,0,6.25,7.25
"198","Utah",5,2013,5,5,5,5.95,5.94999980926514
"199","Vermont",8.5,2013,8.5,8.46,8.95,6,6
"200","Virginia",6,2013,6,5.83,5.75,5,5
"201","Washington",0,2013,0,0,0,6.5,8
"202","West Virginia",7,2013,7,6.5,6.5,6,6.19999980926514
"203","Wisconsin",7.9,2013,7.90000009536743,7.65,7.75,5,5
"204","Wyoming",0,2013,0,0,0,4,4
"205","Alabama",6.5,2014,6.5,5,5,4,4
"206","Alaska",9.4,2014,9.39999961853027,0,0,0,0
"207","Arizona",6.5,2014,6.5,4.47,4.54,5.6,5.59999990463257
"208","Arkansas",6.5,2014,6.5,7.21,7,6.5,6.5
"209","California",8.84,2014,8.84000015258789,14.1,13.3,7.5,7.5
"210","Colorado",4.63,2014,4.63000011444092,4.77,4.63,2.9,2.90000009536743
"211","Connecticut",7.5,2014,9,6.7,6.7,6.35,6.34999990463257
"212","Delaware",8.7,2014,8.69999980926514,6.8,6.6,0,1.99140000343323
"213","District of Columbia",9.975,2014,9.97500038146973,9.04,8.95,5.75,5.75
"214","Florida",5.5,2014,5.5,0,0,6,6
"215","Georgia",6,2014,6,6.18,6,4,4
"216","Hawaii",6.4,2014,6.40000009536743,11,11,4,4
"217","Idaho",7.4,2014,7.40000009536743,7.48,7.4,6,6
"218","Illinois",9.5,2014,9.5,5,5,6.25,6.25
"219","Indiana",8,2014,8,3.4,3.4,7,7
"220","Iowa",12,2014,12,8.98,8.98,6,6
"221","Kansas",4,2014,7,4.89,4.8,6.15,6.15000009536743
"222","Kentucky",6,2014,6,6.18,6,6,6.09499979019165
"223","Louisiana",8,2014,8,6,6,4,4
"224","Maine",8.93,2014,8.93000030517578,7.95,7.95,5.5,5.5
"225","Maryland",8.25,2014,8.25,5.83,5.75,6,6
"226","Massachusetts",8,2014,8,5.2,5.2,6.25,6.25
"227","Michigan",6,2014,6,4.25,4.25,6,6
"228","Minnesota",9.8,2014,9.80000019073486,10.15,9.85,6.875,6.875
"229","Mississippi",5,2014,5,5.07,5,7,7
"230","Missouri",6.25,2014,6.25,6.08,6,4.225,4.22499990463257
"231","Montana",6.75,2014,7,7.11,6.9,0,0
"232","Nebraska",7.81,2014,7.80999994277954,7.02,6.84,5.5,5.5
"233","Nevada",0,2014,0,0,0,6.85,6.84999990463257
"234","New Hampshire",8.5,2014,8.5,0,0,0,0.75
"235","New Jersey",9,2014,9,8.97,8.97,7,7
"236","New Mexico",7.3,2014,7.30000019073486,5.05,4.9,5.125,5.125
"237","New York",7.1,2014,7.09999990463257,8.82,8.82,4,4
"238","North Carolina",6,2014,6,5.8,5.8,4.75,4.75
"239","North Dakota",4.53,2014,8.02999973297119,3.21,3.22,5,5
"240","Ohio",0,2014,0,5.33,5.392,5.75,6.01000022888184
"241","Oklahoma",6,2014,6,5.14,5.25,4.5,4.5
"242","Oregon",7.6,2014,7.59999990463257,9.99,9.9,0,0
"243","Pennsylvania",9.99,2014,9.98999977111816,3.07,3.07,6,6
"244","Rhode Island",9,2014,9,5.99,5.99,7,7
"245","South Carolina",5,2014,5,7.08,7,6,6
"246","South Dakota",0,2014,0,0,0,4,4
"247","Tennessee",6.5,2014,6.5,0,0,7,7.03000020980835
"248","Texas",0,2014,0,0,0,6.25,7.25
"249","Utah",5,2014,5,5,5,5.95,5.94999980926514
"250","Vermont",8.5,2014,8.5,8.46,8.95,6,6
"251","Virginia",6,2014,6,5.83,5.75,5.3,5.30000019073486
"252","Washington",0,2014,0,0,0,6.5,8
"253","West Virginia",6.5,2014,6.5,6.5,6.5,6,6.09999990463257
"254","Wisconsin",7.9,2014,7.90000009536743,7.65,7.65,5,5
"255","Wyoming",0,2014,0,0,0,4,4
"256","Alabama",6.5,2015,6.5,5,5,4,4
"257","Alaska",9.4,2015,9.39999961853027,0,0,0,0
"258","Arizona",6,2015,6,4.47,4.54,5.6,5.59999990463257
"259","Arkansas",6.5,2015,6.5,7.21,7,6.5,6.5
"260","California",8.84,2015,8.84000015258789,14.1,13.3,7.5,7.5
"261","Colorado",4.63,2015,4.63000011444092,4.77,4.63,2.9,2.90000009536743
"262","Connecticut",7.5,2015,9,6.99,6.7,6.35,6.34999990463257
"263","Delaware",8.7,2015,8.69999980926514,6.8,6.6,0,1.99140000343323
"264","District of Columbia",9.4,2015,9.39999961853027,9.04,8.95,5.75,5.75
"265","Florida",5.5,2015,5.5,0,0,6,6
"266","Georgia",6,2015,6,6.18,6,4,4
"267","Hawaii",6.4,2015,6.40000009536743,11,11,4,4
"268","Idaho",7.4,2015,7.40000009536743,7.49,7.4,6,6
"269","Illinois",7.75,2015,7.75,3.75,3.75,6.25,6.25
"270","Indiana",7,2015,7,3.3,3.3,7,7
"271","Iowa",12,2015,12,8.98,8.98,6,6
"272","Kansas",4,2015,7,4.67,4.6,6.15,6.15000009536743
"273","Kentucky",6,2015,6,6.18,6,6,6.09499979019165
"274","Louisiana",8,2015,8,6,6,4,4
"275","Maine",8.93,2015,8.93000030517578,7.95,7.95,5.5,5.5
"276","Maryland",8.25,2015,8.25,5.83,5.75,6,6
"277","Massachusetts",8,2015,8,5.15,5.15,6.25,6.25
"278","Michigan",6,2015,6,4.25,4.25,6,6
"279","Minnesota",9.8,2015,9.80000019073486,10.15,9.85,6.875,6.875
"280","Mississippi",5,2015,5,5.07,5,7,7
